Latitude,Longitude,Magnitude
33.3975,-116.3933333,4.14
40.5571667,-124.0083333,4.16
40.3601667,-124.3346667,3.79
44.3432,-115.1654,3.8
40.5455,-124.3291667,4.35
40.6005,-124.0688333,3.99
40.5273333,-124.3543333,3.52
40.5228333,-124.1881667,4.92
40.525,-124.423,6.4
37.9181667,-122.304,3.57
32.19085693,-102.1406965,5.2
30.8464,-116.3895,4.4
35.5086667,-118.3915,3.56
41.9732,-119.5587,3.5
35.9356667,-120.0126667,3.98
37.3258333,-121.6876667,3.59
31.66602425,-104.2416858,3.5
37.1563333,-118.338,3.91
32.8361667,-116.0403333,3.82
31.55439337,-104.1371084,3.5
30.7774,-116.4095,4.3
31.62673498,-104.0029099,4.7
31.63414005,-103.9876096,4.5
30.9238,-116.4862,4.3
38.1864,-117.8655,3.5
31.71635872,-104.5581962,3.6
30.9783,-116.4784,4.5
30.7936,-116.3907,6.2
31.63489585,-104.0020069,4
31.63586216,-103.988021,3.8
31.61508142,-103.9832184,3.6
31.62947111,-104.0091105,4
31.6367452,-103.9987871,5.4
47.2961,-114.1463,3.7
42.2126667,-111.091,3.57
41.5125,-112.1813333,3.58
31.65135131,-104.3180018,3.5
31.509,-115.782,3.81
31.5571667,-115.6993333,4.04
31.5536667,-115.7113333,3.69
44.3722,-115.1574,3.6
39.4828333,-123.1165,3.76
28.1429,-112.2235,4.3
36.9838333,-112.9426667,3.78
28.1573,-112.3106,6.1
27.9226,-111.8314,4.2
29.23736572,-97.47070313,3.5
40.3113333,-124.3686667,3.66
37.3106667,-121.6751667,3.54
37.3115,-121.672,5.06
40.5781667,-124.14,4.1
31.67243422,-104.4016123,3.7
31.6826,-104.419,3.5
31.9225,-118.2288333,3.79
40.3495,-123.5185,4.32
45.2093,-106.8691,3.5
35.0486667,-118.9958333,3.67
38.5498333,-119.4411667,3.54
31.5071,-114.3592,3.8
31.4701667,-114.3495,3.54
44.540333333333336,-122.5508333,4.39
32.3381667,-115.2443333,3.57
27.0398,-111.3805,4.3
